,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Spain,2187,UEFA,H,100.0,100.0,100.0,77.1,46.4,27.8,0.0,0.0,0.0,0.42,0.5,0.45
Argentina,2154,CONMEBOL,J,100.0,100.0,100.0,66.3,41.4,22.0,0.0,0.0,0.0,0.47,0.49,0.41
France,2143,UEFA,I,100.0,100.0,100.0,73.0,37.1,19.9,0.0,0.0,0.0,0.44,0.48,0.4
England,2082,UEFA,L,100.0,100.0,100.0,62.3,29.3,13.4,0.0,0.0,0.0,0.48,0.46,0.34
Norway,1978,UEFA,I,100.0,100.0,100.0,37.7,13.5,4.9,0.0,0.0,0.0,0.48,0.34,0.22
Colombia,2023,CONMEBOL,K,100.0,100.0,59.4,21.6,10.8,4.6,0.0,0.0,0.49,0.41,0.31,0.21
Morocco,1928,CAF,C,100.0,100.0,100.0,27.0,8.5,3.1,0.0,0.0,0.0,0.44,0.28,0.17
Belgium,1932,UEFA,G,100.0,100.0,100.0,22.8,8.0,2.8,0.0,0.0,0.0,0.42,0.27,0.16
Switzerland,1942,UEFA,B,100.0,100.0,40.6,12.1,5.1,1.6,0.0,0.0,0.49,0.33,0.22,0.13
Bosnia & Herzegovina,1614,UEFA,B,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1583,CAF,A,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,1909,CONCACAF,A,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,1680,UEFA,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1707,CONCACAF,B,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1487,AFC,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,1736,AFC,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,1821,UEFA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1774,AFC,D,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,1797,CONMEBOL,D,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,1827,CONCACAF,D,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
