,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Argentina,2146,CONMEBOL,J,100.0,95.1,81.0,55.8,37.3,22.0,0.0,0.22,0.39,0.5,0.48,0.41
Spain,2157,UEFA,H,100.0,84.3,60.6,46.8,30.7,18.1,0.0,0.36,0.49,0.5,0.46,0.39
France,2125,UEFA,I,100.0,87.0,67.3,48.7,28.9,16.4,0.0,0.34,0.47,0.5,0.45,0.37
England,2054,UEFA,L,100.0,80.0,51.9,32.6,16.6,8.3,0.0,0.4,0.5,0.47,0.37,0.28
Colombia,2016,CONMEBOL,K,100.0,83.2,54.1,23.5,12.7,6.2,0.0,0.37,0.5,0.42,0.33,0.24
Brazil,1995,CONMEBOL,C,100.0,61.6,38.6,19.7,8.6,4.1,0.0,0.49,0.49,0.4,0.28,0.2
Netherlands,1989,UEFA,F,100.0,61.4,43.5,18.9,8.7,4.0,0.0,0.49,0.5,0.39,0.28,0.2
Portugal,1978,UEFA,K,100.0,56.4,20.0,12.4,6.1,2.7,0.0,0.5,0.4,0.33,0.24,0.16
Mexico,1881,CONCACAF,A,100.0,54.4,24.0,12.2,5.2,2.3,0.0,0.5,0.43,0.33,0.22,0.15
United States,1860,CONCACAF,D,100.0,79.3,44.7,15.4,6.3,2.3,0.0,0.41,0.5,0.36,0.24,0.15
Norway,1926,UEFA,I,100.0,70.4,32.7,14.4,5.2,2.0,0.0,0.46,0.47,0.35,0.22,0.14
Switzerland,1910,UEFA,B,100.0,62.9,27.9,10.0,4.4,1.7,0.0,0.48,0.45,0.3,0.21,0.13
Morocco,1890,CAF,C,100.0,38.6,25.0,9.2,3.5,1.4,0.0,0.49,0.43,0.29,0.18,0.12
Croatia,1923,UEFA,L,100.0,43.6,13.4,7.5,3.1,1.2,0.0,0.5,0.34,0.26,0.17,0.11
Japan,1892,AFC,F,100.0,38.4,20.3,8.2,3.1,1.1,0.0,0.49,0.4,0.27,0.17,0.1
Germany,1897,UEFA,E,100.0,64.5,19.5,9.7,3.1,1.1,0.0,0.48,0.4,0.3,0.17,0.1
Ecuador,1895,CONMEBOL,E,100.0,45.6,17.9,8.2,2.6,1.0,0.0,0.5,0.38,0.27,0.16,0.1
Senegal,1850,CAF,I,100.0,49.1,24.1,7.1,2.6,0.9,0.0,0.5,0.43,0.26,0.16,0.09
Belgium,1850,UEFA,G,100.0,50.9,25.2,7.1,2.3,0.7,0.0,0.5,0.43,0.26,0.15,0.08
Canada,1737,CONCACAF,B,100.0,100.0,31.6,8.4,2.4,0.6,0.0,0.0,0.46,0.28,0.15,0.08
Algeria,1805,CAF,J,100.0,37.1,12.6,3.3,1.3,0.4,0.0,0.48,0.33,0.18,0.11,0.06
Australia,1775,AFC,D,100.0,52.2,9.4,3.4,0.9,0.3,0.0,0.5,0.29,0.18,0.09,0.05
Austria,1815,UEFA,J,100.0,15.7,6.0,2.8,0.9,0.2,0.0,0.36,0.24,0.16,0.09,0.04
Paraguay,1763,CONMEBOL,D,100.0,35.5,8.2,3.4,0.9,0.2,0.0,0.48,0.27,0.18,0.09,0.04
Egypt,1757,CAF,G,100.0,47.8,8.5,2.9,0.7,0.2,0.0,0.5,0.28,0.17,0.08,0.04
Côte d'Ivoire,1739,CAF,E,100.0,29.6,8.4,2.3,0.5,0.1,0.0,0.46,0.28,0.15,0.07,0.03
Sweden,1740,UEFA,F,100.0,13.0,5.1,1.8,0.4,0.1,0.0,0.34,0.22,0.13,0.06,0.03
DR Congo,1761,CAF,K,100.0,20.0,6.2,2.4,0.6,0.1,0.0,0.4,0.24,0.15,0.08,0.03
Qatar,1487,AFC,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,1627,AFC,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,1442,CONCACAF,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia & Herzegovina,1633,UEFA,B,100.0,20.7,6.0,0.9,0.1,0.0,0.0,0.41,0.24,0.09,0.03,0.0
Czechia,1680,UEFA,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1583,CAF,A,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,1560,CONCACAF,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1599,AFC,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,1490,CONCACAF,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,1572,AFC,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,1704,UEFA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,1558,CAF,H,100.0,4.9,1.2,0.2,0.0,0.0,0.0,0.22,0.11,0.04,0.0,0.0
Saudi Arabia,1627,AFC,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,1839,CONMEBOL,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,1510,OFC,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,1783,AFC,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,1736,AFC,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,1597,CAF,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,1821,UEFA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,1678,CAF,L,100.0,16.8,5.3,0.9,0.2,0.0,0.0,0.37,0.22,0.09,0.04,0.0
