match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,actual,score,played
28,A,Mexico,South Korea,48.8,27.4,23.7,47.5,28.8,23.7,H,1-0,1
29,D,United States,Australia,55.3,25.6,19.0,,,,H,2-0,1
30,C,Scotland,Morocco,21.0,26.5,52.4,15.8,26.1,58.1,A,0-1,1
31,C,Brazil,Haiti,83.6,12.0,4.4,88.4,8.1,3.6,H,3-0,1
32,D,Türkiye,Paraguay,37.4,29.0,33.5,47.0,28.1,25.0,A,0-1,1
33,F,Netherlands,Sweden,63.0,22.8,14.2,56.7,23.5,19.8,H,5-1,1
34,E,Germany,Côte d'Ivoire,58.4,24.6,17.0,65.1,20.1,14.8,H,2-1,1
35,E,Ecuador,Curaçao,77.5,15.7,6.8,86.7,9.7,3.5,D,0-0,1
36,F,Tunisia,Japan,11.5,20.7,67.9,13.6,23.2,63.1,A,0-4,1
37,H,Spain,Saudi Arabia,86.3,10.2,3.4,89.0,8.2,2.8,H,4-0,1
38,G,Belgium,Iran,40.5,28.8,30.7,68.1,20.2,11.8,D,0-0,1
39,H,Uruguay,Cabo Verde,67.5,20.9,11.7,66.8,22.5,10.7,D,2-2,1
40,G,New Zealand,Egypt,15.9,23.9,60.2,15.5,23.3,61.3,A,1-3,1
41,J,Argentina,Austria,67.6,20.8,11.6,64.6,22.8,12.6,,,0
42,I,France,Iraq,84.0,11.8,4.3,88.6,8.3,3.1,,,0
43,I,Norway,Senegal,45.1,28.2,26.7,43.8,28.0,28.3,,,0
44,J,Jordan,Algeria,22.9,27.2,50.0,15.7,23.5,60.8,,,0
45,K,Portugal,Uzbekistan,68.7,20.3,11.0,81.9,12.9,5.2,,,0
46,L,England,Ghana,78.0,15.4,6.6,80.3,13.9,5.8,,,0
47,L,Panama,Croatia,10.0,19.3,70.7,13.5,23.4,63.1,,,0
48,K,Colombia,DR Congo,64.8,22.1,13.2,64.4,22.8,12.8,,,0
49,B,Switzerland,Canada,46.1,28.0,25.9,39.1,31.2,29.6,,,0
50,B,Bosnia & Herzegovina,Qatar,43.5,28.5,28.1,67.7,19.1,13.2,,,0
51,C,Scotland,Brazil,14.3,22.9,62.8,11.6,18.0,70.4,,,0
52,C,Morocco,Haiti,75.8,16.6,7.6,82.2,12.8,4.9,,,0
53,A,Czechia,Mexico,18.2,25.2,56.6,25.4,24.6,50.0,,,0
54,A,South Africa,South Korea,16.0,24.0,60.0,16.5,24.2,59.4,,,0
55,E,Ecuador,Germany,28.2,28.5,43.4,26.2,24.3,49.6,,,0
56,E,Curaçao,Côte d'Ivoire,13.5,22.3,64.1,4.1,10.7,85.2,,,0
57,F,Japan,Sweden,55.0,25.7,19.2,50.0,27.5,22.5,,,0
58,F,Tunisia,Netherlands,7.9,17.1,75.0,3.6,10.1,86.3,,,0
59,D,Türkiye,United States,19.4,25.8,54.8,26.7,23.1,50.1,,,0
60,D,Paraguay,Australia,34.0,29.0,36.9,33.3,42.4,24.3,,,0
61,I,Norway,France,21.8,26.8,51.3,21.5,24.5,54.0,,,0
62,I,Senegal,Iraq,61.8,23.3,14.9,74.5,17.2,8.3,,,0
63,H,Cabo Verde,Saudi Arabia,27.5,28.3,44.2,40.4,27.1,32.5,,,0
64,H,Uruguay,Spain,11.5,20.7,67.9,13.1,22.0,64.9,,,0
65,G,Egypt,Iran,32.3,29.0,38.7,39.9,34.8,25.3,,,0
66,G,New Zealand,Belgium,11.1,20.3,68.6,6.0,13.6,80.4,,,0
67,L,Panama,England,3.8,10.9,85.3,7.6,13.4,79.0,,,0
68,L,Croatia,Ghana,61.0,23.6,15.4,59.5,24.8,15.7,,,0
69,K,Colombia,Portugal,40.9,28.8,30.3,26.0,27.2,46.8,,,0
70,K,DR Congo,Uzbekistan,45.0,28.2,26.8,46.2,26.0,27.8,,,0
71,J,Algeria,Austria,31.0,28.8,40.2,30.9,30.9,38.2,,,0
72,J,Jordan,Argentina,4.3,11.9,83.7,5.7,12.6,81.7,,,0
