,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Argentina,2142,CONMEBOL,J,100.0,88.9,73.2,52.4,34.0,20.6,0.0,0.31,0.44,0.5,0.47,0.4
Spain,2148,UEFA,H,100.0,79.1,59.8,45.2,30.1,18.3,0.0,0.41,0.49,0.5,0.46,0.39
France,2091,UEFA,I,100.0,83.3,58.5,38.9,22.3,12.0,0.0,0.37,0.49,0.49,0.42,0.32
England,2073,UEFA,L,99.9,76.1,52.9,32.3,17.5,9.7,0.03,0.43,0.5,0.47,0.38,0.3
Colombia,2009,CONMEBOL,K,98.9,70.4,44.7,21.2,11.2,5.6,0.1,0.46,0.5,0.41,0.32,0.23
United States,1900,CONCACAF,D,100.0,78.2,51.7,21.3,10.5,4.6,0.0,0.41,0.5,0.41,0.31,0.21
Brazil,1975,CONMEBOL,C,100.0,55.2,32.0,16.0,7.2,3.7,0.0,0.5,0.47,0.37,0.26,0.19
Netherlands,1979,UEFA,F,100.0,58.5,38.2,18.7,8.7,3.7,0.0,0.49,0.49,0.39,0.28,0.19
Norway,1960,UEFA,I,100.0,74.4,39.5,19.6,8.5,3.6,0.0,0.44,0.49,0.4,0.28,0.19
Germany,1934,UEFA,E,100.0,71.4,28.4,14.8,6.3,2.6,0.0,0.45,0.45,0.36,0.24,0.16
Portugal,1957,UEFA,K,83.9,51.1,26.0,13.0,6.0,2.5,0.37,0.5,0.44,0.34,0.24,0.16
Mexico,1848,CONCACAF,A,100.0,64.7,26.2,12.3,4.6,2.0,0.0,0.48,0.44,0.33,0.21,0.14
Japan,1906,AFC,F,100.0,47.9,24.8,11.0,4.4,1.9,0.0,0.5,0.43,0.31,0.21,0.14
Morocco,1881,CAF,C,100.0,43.4,22.6,9.6,3.9,1.7,0.0,0.5,0.42,0.29,0.19,0.13
Switzerland,1893,UEFA,B,100.0,64.1,28.1,10.0,3.9,1.4,0.0,0.48,0.45,0.3,0.19,0.12
Croatia,1902,UEFA,L,84.0,41.5,16.3,8.0,3.2,1.2,0.37,0.49,0.37,0.27,0.18,0.11
Uruguay,1848,CONMEBOL,H,36.7,16.1,7.8,3.3,1.3,0.5,0.48,0.37,0.27,0.18,0.11,0.07
South Korea,1783,AFC,A,94.3,43.6,14.7,4.7,1.4,0.5,0.23,0.5,0.35,0.21,0.12,0.07
Belgium,1833,UEFA,G,87.9,48.0,14.2,5.3,1.9,0.5,0.33,0.5,0.35,0.22,0.14,0.07
Senegal,1824,CAF,I,55.3,24.7,10.8,3.4,1.2,0.4,0.5,0.43,0.31,0.18,0.11,0.06
Iran,1785,AFC,G,69.4,33.0,10.8,3.3,1.2,0.4,0.46,0.47,0.31,0.18,0.11,0.06
Canada,1733,CONCACAF,B,100.0,53.0,17.6,4.8,1.5,0.4,0.0,0.5,0.38,0.21,0.12,0.06
Algeria,1804,CAF,J,83.4,26.5,11.1,3.6,1.3,0.4,0.37,0.44,0.31,0.19,0.11,0.06
Australia,1776,AFC,D,92.0,38.9,8.9,3.4,1.0,0.4,0.27,0.49,0.28,0.18,0.1,0.06
Egypt,1754,CAF,G,100.0,42.2,13.2,3.6,1.2,0.3,0.0,0.49,0.34,0.19,0.11,0.05
Ecuador,1859,CONMEBOL,E,29.9,13.7,6.8,2.6,1.0,0.3,0.46,0.34,0.25,0.16,0.1,0.05
Austria,1816,UEFA,J,94.5,25.4,10.3,3.5,1.1,0.3,0.23,0.44,0.3,0.18,0.1,0.05
Paraguay,1762,CONMEBOL,D,79.8,28.3,7.0,2.6,0.8,0.2,0.4,0.45,0.26,0.16,0.09,0.04
Côte d'Ivoire,1722,CAF,E,94.4,22.3,6.6,1.8,0.5,0.2,0.23,0.42,0.25,0.13,0.07,0.04
Sweden,1726,UEFA,F,93.5,26.6,7.8,2.1,0.5,0.1,0.25,0.44,0.27,0.14,0.07,0.03
DR Congo,1739,CAF,K,59.9,19.0,6.0,1.9,0.5,0.1,0.49,0.39,0.24,0.14,0.07,0.03
Scotland,1724,UEFA,C,83.4,21.6,5.6,1.5,0.4,0.1,0.37,0.41,0.23,0.12,0.06,0.03
South Africa,1557,CAF,A,17.9,4.3,0.7,0.2,0.0,0.0,0.38,0.2,0.08,0.04,0.0,0.0
Czechia,1713,UEFA,A,22.3,9.0,2.7,0.6,0.1,0.0,0.42,0.29,0.16,0.08,0.03,0.0
Panama,1573,CONCACAF,L,10.3,1.5,0.3,0.0,0.0,0.0,0.3,0.12,0.05,0.0,0.0,0.0
Uzbekistan,1649,AFC,K,27.7,6.2,1.6,0.4,0.1,0.0,0.45,0.24,0.13,0.06,0.03,0.0
Qatar,1522,AFC,B,29.4,3.7,0.7,0.1,0.0,0.0,0.46,0.19,0.08,0.03,0.0,0.0
Jordan,1631,AFC,J,2.2,0.6,0.2,0.0,0.0,0.0,0.15,0.08,0.04,0.0,0.0,0.0
Curaçao,1458,CONCACAF,E,14.8,1.5,0.3,0.0,0.0,0.0,0.36,0.12,0.05,0.0,0.0,0.0
Bosnia & Herzegovina,1598,UEFA,B,44.1,7.2,1.9,0.4,0.1,0.0,0.5,0.26,0.14,0.06,0.03,0.0
Iraq,1598,AFC,I,7.6,1.7,0.4,0.1,0.0,0.0,0.26,0.13,0.06,0.03,0.0,0.0
Haiti,1499,CONCACAF,C,1.8,0.2,0.1,0.0,0.0,0.0,0.13,0.04,0.03,0.0,0.0,0.0
Cabo Verde,1551,CAF,H,56.7,4.4,1.1,0.2,0.1,0.0,0.5,0.21,0.1,0.04,0.03,0.0
Saudi Arabia,1634,AFC,H,44.6,4.4,1.5,0.5,0.1,0.0,0.5,0.21,0.12,0.07,0.03,0.0
New Zealand,1526,OFC,G,12.5,2.8,0.3,0.0,0.0,0.0,0.33,0.16,0.05,0.0,0.0,0.0
Türkiye,1781,UEFA,D,9.7,2.6,1.0,0.4,0.1,0.0,0.3,0.16,0.1,0.06,0.03,0.0
Tunisia,1606,CAF,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,1667,CAF,L,77.6,18.4,5.0,1.2,0.3,0.0,0.42,0.39,0.22,0.11,0.05,0.0
