,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Spain,2142,UEFA,H,96.2,71.1,54.5,42.4,29.0,18.1,0.19,0.45,0.5,0.49,0.45,0.39
Argentina,2128,CONMEBOL,J,99.9,75.1,60.6,42.9,28.3,17.6,0.03,0.43,0.49,0.49,0.45,0.38
France,2085,UEFA,I,99.7,79.8,57.4,39.3,22.9,12.5,0.05,0.4,0.49,0.49,0.42,0.33
England,2073,UEFA,L,99.9,76.3,54.0,35.3,19.3,11.2,0.03,0.43,0.5,0.48,0.39,0.32
Colombia,2009,CONMEBOL,K,98.4,69.7,44.0,22.7,12.0,6.3,0.13,0.46,0.5,0.42,0.32,0.24
Brazil,1968,CONMEBOL,C,94.7,56.9,33.6,17.3,8.1,3.6,0.22,0.5,0.47,0.38,0.27,0.19
Portugal,1957,UEFA,K,83.6,51.0,26.9,14.1,7.0,3.2,0.37,0.5,0.44,0.35,0.26,0.18
United States,1861,CONCACAF,D,98.3,67.6,35.4,15.2,7.5,3.1,0.13,0.47,0.48,0.36,0.26,0.17
Norway,1938,UEFA,I,97.4,61.0,34.2,16.7,7.3,3.0,0.16,0.49,0.47,0.37,0.26,0.17
Netherlands,1952,UEFA,F,91.0,51.2,30.2,14.3,6.2,2.7,0.29,0.5,0.46,0.35,0.24,0.16
Germany,1918,UEFA,E,99.6,60.4,25.6,13.4,5.4,2.0,0.06,0.49,0.44,0.34,0.23,0.14
Mexico,1848,CONCACAF,A,100.0,63.1,24.4,11.4,4.5,1.8,0.0,0.48,0.43,0.32,0.21,0.13
Switzerland,1893,UEFA,B,100.0,63.6,29.2,11.2,4.6,1.8,0.0,0.48,0.45,0.32,0.21,0.13
Japan,1886,AFC,F,86.4,42.7,21.6,9.2,3.7,1.5,0.34,0.49,0.41,0.29,0.19,0.12
Ecuador,1885,CONMEBOL,E,82.4,39.0,19.0,7.5,3.1,1.3,0.38,0.49,0.39,0.26,0.17,0.11
Uruguay,1870,CONMEBOL,H,79.1,29.7,15.9,7.3,3.3,1.2,0.41,0.46,0.37,0.26,0.18,0.11
Croatia,1902,UEFA,L,83.9,40.9,15.9,8.3,3.6,1.1,0.37,0.49,0.37,0.28,0.19,0.1
Morocco,1861,CAF,C,89.8,42.7,20.6,8.4,2.9,1.1,0.3,0.49,0.4,0.28,0.17,0.1
Australia,1816,AFC,D,94.8,53.3,20.0,7.0,2.7,1.0,0.22,0.5,0.4,0.26,0.16,0.1
