,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Argentina,2148,CONMEBOL,J,100.0,100.0,86.2,57.1,35.9,20.7,0.0,0.0,0.34,0.49,0.48,0.41
Spain,2170,UEFA,H,100.0,100.0,68.8,52.0,32.7,19.9,0.0,0.0,0.46,0.5,0.47,0.4
France,2135,UEFA,I,100.0,100.0,82.8,60.9,33.9,19.1,0.0,0.0,0.38,0.49,0.47,0.39
England,2063,UEFA,L,100.0,100.0,58.6,34.1,17.0,8.1,0.0,0.0,0.49,0.47,0.38,0.27
Colombia,2023,CONMEBOL,K,100.0,100.0,59.9,24.4,12.3,5.6,0.0,0.0,0.49,0.43,0.33,0.23
Brazil,2017,CONMEBOL,C,100.0,100.0,58.4,28.0,11.9,5.2,0.0,0.0,0.49,0.45,0.32,0.22
Mexico,1928,CONCACAF,A,100.0,100.0,41.3,21.5,9.2,4.0,0.0,0.0,0.49,0.41,0.29,0.2
Portugal,2004,UEFA,K,100.0,100.0,31.2,18.9,9.0,4.0,0.0,0.0,0.46,0.39,0.29,0.2
Morocco,1928,CAF,C,100.0,100.0,100.0,32.1,11.0,3.6,0.0,0.0,0.0,0.47,0.31,0.19
United States,1879,CONCACAF,D,100.0,100.0,56.6,18.4,7.6,3.0,0.0,0.0,0.5,0.39,0.26,0.17
Norway,1942,UEFA,I,100.0,100.0,41.6,16.4,6.4,2.4,0.0,0.0,0.49,0.37,0.24,0.15
Switzerland,1942,UEFA,B,100.0,100.0,40.1,14.5,6.3,2.2,0.0,0.0,0.49,0.35,0.24,0.15
Belgium,1880,UEFA,G,100.0,100.0,43.4,10.7,3.8,1.3,0.0,0.0,0.5,0.31,0.19,0.11
Paraguay,1805,CONMEBOL,D,100.0,100.0,17.2,7.0,2.0,0.5,0.0,0.0,0.38,0.26,0.14,0.07
Egypt,1758,CAF,G,100.0,100.0,13.8,4.0,1.1,0.3,0.0,0.0,0.34,0.2,0.1,0.05
Cabo Verde,1556,CAF,H,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,1820,CAF,I,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia & Herzegovina,1614,UEFA,B,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,1572,AFC,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1487,AFC,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1802,UEFA,J,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1773,CAF,J,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,1627,AFC,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1707,CONCACAF,B,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,1680,UEFA,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1599,AFC,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,1752,CAF,K,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1583,CAF,A,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,1898,UEFA,L,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,1560,CONCACAF,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
