match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,actual,score,played
34,E,Germany,Côte d'Ivoire,52.6,26.5,20.9,65.1,20.1,14.8,H,2-1,1
35,E,Ecuador,Curaçao,81.9,13.1,5.0,86.7,9.7,3.5,D,0-0,1
36,F,Tunisia,Japan,11.7,20.9,67.3,13.6,23.2,63.1,A,0-4,1
37,H,Spain,Saudi Arabia,86.3,10.2,3.4,89.0,8.2,2.8,H,4-0,1
38,G,Belgium,Iran,40.5,28.8,30.7,68.1,20.2,11.8,D,0-0,1
39,H,Uruguay,Cabo Verde,67.5,20.9,11.7,66.8,22.5,10.7,D,2-2,1
40,G,New Zealand,Egypt,15.9,23.9,60.2,15.5,23.3,61.3,A,1-3,1
41,J,Argentina,Austria,70.4,19.5,10.2,64.6,22.8,12.6,H,2-0,1
42,I,France,Iraq,84.9,11.2,3.9,94.7,4.8,0.4,H,3-0,1
43,I,Norway,Senegal,50.0,27.1,22.8,41.8,27.9,30.3,H,3-2,1
44,J,Jordan,Algeria,19.8,26.0,54.2,14.2,22.1,63.7,A,1-2,1
45,K,Portugal,Uzbekistan,72.1,18.6,9.3,84.9,11.1,4.0,H,5-0,1
46,L,England,Ghana,73.5,17.9,8.6,82.0,13.0,5.1,D,0-0,1
47,L,Panama,Croatia,9.2,18.5,72.2,13.1,22.0,64.8,A,0-1,1
48,K,Colombia,DR Congo,66.9,21.1,12.0,63.2,23.5,13.3,H,1-0,1
49,B,Switzerland,Canada,49.9,27.2,22.9,40.7,30.7,28.5,H,2-1,1
50,B,Bosnia & Herzegovina,Qatar,51.2,26.8,21.9,69.6,18.0,12.4,H,3-1,1
51,C,Scotland,Brazil,11.9,21.1,67.0,9.6,17.3,73.0,A,0-3,1
52,C,Morocco,Haiti,77.4,15.7,6.9,82.5,12.5,5.0,H,4-2,1
53,A,Czechia,Mexico,13.7,22.5,63.7,25.4,24.6,50.0,A,0-3,1
54,A,South Africa,South Korea,23.1,27.2,49.6,17.3,24.7,58.0,H,1-0,1
55,E,Ecuador,Germany,35.3,29.1,35.7,16.6,19.1,64.3,H,2-1,1
56,E,Curaçao,Côte d'Ivoire,11.7,20.8,67.5,4.3,10.9,84.8,A,0-2,1
57,F,Japan,Sweden,51.8,26.7,21.5,52.1,26.9,20.9,D,1-1,1
58,F,Tunisia,Netherlands,7.2,16.1,76.7,2.6,8.0,89.4,A,1-3,1
59,D,Türkiye,United States,26.0,28.0,46.0,24.3,23.0,52.7,H,3-2,1
60,D,Paraguay,Australia,34.3,29.0,36.7,33.5,42.8,23.7,D,0-0,1
61,I,Norway,France,23.2,27.3,49.6,18.8,20.0,61.2,,,0
62,I,Senegal,Iraq,60.0,24.0,16.0,79.6,13.6,6.8,,,0
63,H,Cabo Verde,Saudi Arabia,27.5,28.3,44.2,36.4,28.8,34.8,,,0
64,H,Uruguay,Spain,11.5,20.7,67.9,12.8,23.6,63.6,,,0
65,G,Egypt,Iran,32.3,29.0,38.7,38.3,36.8,24.9,,,0
66,G,New Zealand,Belgium,11.1,20.3,68.6,5.1,11.6,83.3,,,0
67,L,Panama,England,4.2,11.7,84.1,4.6,11.0,84.4,,,0
68,L,Croatia,Ghana,59.1,24.3,16.5,54.4,29.2,16.4,,,0
69,K,Colombia,Portugal,40.2,28.8,31.0,22.7,25.6,51.7,,,0
70,K,DR Congo,Uzbekistan,45.8,28.1,26.2,56.3,22.8,20.9,,,0
71,J,Algeria,Austria,34.2,29.0,36.7,23.9,42.9,33.2,,,0
72,J,Jordan,Argentina,3.5,10.4,86.1,5.3,12.0,82.7,,,0
