,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Argentina,2146,CONMEBOL,J,100.0,95.0,80.9,55.6,35.8,21.7,0.0,0.22,0.39,0.5,0.48,0.41
Spain,2157,UEFA,H,100.0,84.4,61.1,47.6,31.2,19.0,0.0,0.36,0.49,0.5,0.46,0.39
France,2125,UEFA,I,100.0,86.4,71.2,54.8,31.9,17.8,0.0,0.34,0.45,0.5,0.47,0.38
England,2054,UEFA,L,100.0,79.5,50.5,29.2,15.2,7.3,0.0,0.4,0.5,0.45,0.36,0.26
Brazil,2017,CONMEBOL,C,100.0,100.0,58.1,30.9,14.4,6.8,0.0,0.0,0.49,0.46,0.35,0.25
Colombia,2016,CONMEBOL,K,100.0,83.3,54.5,23.7,11.6,5.6,0.0,0.37,0.5,0.43,0.32,0.23
Morocco,1898,CAF,C,100.0,100.0,61.6,21.9,8.2,3.1,0.0,0.0,0.49,0.41,0.27,0.17
Norway,1942,UEFA,I,100.0,100.0,41.9,18.1,7.6,3.0,0.0,0.0,0.49,0.39,0.26,0.17
Portugal,1978,UEFA,K,100.0,57.1,20.7,13.2,6.3,2.6,0.0,0.49,0.41,0.34,0.24,0.16
United States,1860,CONCACAF,D,100.0,78.8,45.2,15.5,6.7,2.5,0.0,0.41,0.5,0.36,0.25,0.16
Mexico,1881,CONCACAF,A,100.0,56.4,24.8,12.0,5.2,2.2,0.0,0.5,0.43,0.32,0.22,0.15
Switzerland,1910,UEFA,B,100.0,62.4,27.4,9.8,3.9,1.5,0.0,0.48,0.45,0.3,0.19,0.12
Croatia,1923,UEFA,L,100.0,42.9,12.8,6.9,3.2,1.3,0.0,0.49,0.33,0.25,0.18,0.11
Ecuador,1895,CONMEBOL,E,100.0,43.6,17.4,7.6,2.4,1.0,0.0,0.5,0.38,0.26,0.15,0.1
Senegal,1850,CAF,I,100.0,50.8,24.9,7.2,2.9,0.8,0.0,0.5,0.43,0.26,0.17,0.09
Belgium,1850,UEFA,G,100.0,49.2,24.4,6.7,2.4,0.8,0.0,0.5,0.43,0.25,0.15,0.09
Canada,1737,CONCACAF,B,100.0,100.0,38.4,10.4,2.8,0.8,0.0,0.0,0.49,0.31,0.16,0.09
Paraguay,1805,CONMEBOL,D,100.0,100.0,22.4,10.3,2.9,0.7,0.0,0.0,0.42,0.3,0.17,0.08
Algeria,1805,CAF,J,100.0,37.6,13.2,3.6,1.3,0.4,0.0,0.48,0.34,0.19,0.11,0.06
Egypt,1757,CAF,G,100.0,48.9,8.7,3.1,1.0,0.3,0.0,0.5,0.28,0.17,0.1,0.05
DR Congo,1761,CAF,K,100.0,20.5,7.3,2.3,0.6,0.2,0.0,0.4,0.26,0.15,0.08,0.04
Australia,1775,AFC,D,100.0,51.1,8.8,2.9,0.8,0.2,0.0,0.5,0.28,0.17,0.09,0.04
Austria,1815,UEFA,J,100.0,15.6,5.4,2.4,0.8,0.2,0.0,0.36,0.23,0.15,0.09,0.04
Sweden,1740,UEFA,F,100.0,13.6,6.4,2.7,0.7,0.1,0.0,0.34,0.24,0.16,0.08,0.03
Panama,1560,CONCACAF,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1583,CAF,A,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,1680,UEFA,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1599,AFC,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,1704,UEFA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1487,AFC,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,1627,AFC,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia & Herzegovina,1633,UEFA,B,100.0,21.2,5.5,0.5,0.1,0.0,0.0,0.41,0.23,0.07,0.03,0.0
Iraq,1572,AFC,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1856,UEFA,E,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,1490,CONCACAF,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,1821,UEFA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
