,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
France,2143,UEFA,I,100.0,100.0,100.0,73.0,41.3,23.8,0.0,0.0,0.0,0.44,0.49,0.43
Argentina,2148,CONMEBOL,J,100.0,100.0,87.1,57.6,35.7,19.5,0.0,0.0,0.34,0.49,0.48,0.4
Spain,2170,UEFA,H,100.0,100.0,68.6,52.4,31.0,18.8,0.0,0.0,0.46,0.5,0.46,0.39
England,2063,UEFA,L,100.0,100.0,58.2,33.8,17.0,7.9,0.0,0.0,0.49,0.47,0.38,0.27
Brazil,2017,CONMEBOL,C,100.0,100.0,58.3,28.1,12.4,5.4,0.0,0.0,0.49,0.45,0.33,0.23
Colombia,2023,CONMEBOL,K,100.0,100.0,58.9,24.3,12.4,5.0,0.0,0.0,0.49,0.43,0.33,0.22
Mexico,1928,CONCACAF,A,100.0,100.0,41.8,21.5,9.2,3.8,0.0,0.0,0.49,0.41,0.29,0.19
Portugal,2004,UEFA,K,100.0,100.0,31.4,19.1,8.2,3.8,0.0,0.0,0.46,0.39,0.27,0.19
Morocco,1928,CAF,C,100.0,100.0,100.0,27.0,9.9,3.8,0.0,0.0,0.0,0.44,0.3,0.19
United States,1879,CONCACAF,D,100.0,100.0,57.5,17.7,6.6,2.6,0.0,0.0,0.49,0.38,0.25,0.16
Switzerland,1942,UEFA,B,100.0,100.0,41.1,14.9,6.2,2.2,0.0,0.0,0.49,0.36,0.24,0.15
Norway,1942,UEFA,I,100.0,100.0,41.7,16.6,6.3,2.0,0.0,0.0,0.49,0.37,0.24,0.14
Belgium,1880,UEFA,G,100.0,100.0,42.5,10.7,3.2,1.0,0.0,0.0,0.49,0.31,0.18,0.1
Egypt,1758,CAF,G,100.0,100.0,12.9,3.2,0.9,0.2,0.0,0.0,0.34,0.18,0.09,0.04
Paraguay,1797,CONMEBOL,D,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,1556,CAF,H,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,1820,CAF,I,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia & Herzegovina,1614,UEFA,B,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,1572,AFC,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1487,AFC,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1802,UEFA,J,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1773,CAF,J,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
