match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,pred,xg_home,xg_away,actual,score,played
1,A,Mexico,South Africa,76.1,16.4,7.4,,,,2-0,2.4,0.6,H,2-0,1
2,A,South Korea,Czechia,41.3,28.7,29.9,,,,1-1,1.3,1.1,H,2-1,1
3,B,Canada,Bosnia & Herzegovina,52.0,26.6,21.4,,,,1-1,1.6,0.9,D,1-1,1
4,D,United States,Paraguay,45.0,28.2,26.8,,,,1-1,1.4,1.0,H,4-1,1
5,B,Qatar,Switzerland,4.6,12.4,83.0,,,,0-2,0.5,2.7,D,1-1,1
6,C,Brazil,Morocco,43.1,28.5,28.4,,,,1-1,1.4,1.1,D,1-1,1
7,C,Haiti,Scotland,16.9,24.5,58.6,,,,0-1,0.8,1.7,A,0-1,1
8,D,Australia,Türkiye,30.7,28.8,40.5,,,,1-1,1.1,1.3,H,2-0,1
9,E,Germany,Curaçao,78.7,15.0,6.3,,,,2-0,2.5,0.6,H,7-1,1
10,F,Netherlands,Japan,47.2,27.8,25.0,,,,1-1,1.4,1.0,D,2-2,1
11,E,Côte d'Ivoire,Ecuador,23.7,27.4,48.9,,,,1-1,1.0,1.5,H,1-0,1
12,F,Sweden,Tunisia,49.7,27.2,23.0,,,,1-1,1.5,0.9,H,5-1,1
13,H,Spain,Cabo Verde,94.7,4.3,1.0,90.9,6.9,2.3,3-0,4.0,0.4,D,0-0,1
14,G,Belgium,Egypt,53.7,26.2,20.2,7.0,90.6,2.4,1-0,1.6,0.9,D,1-1,1
15,H,Saudi Arabia,Uruguay,17.0,24.6,58.5,10.8,21.4,67.7,0-1,0.8,1.7,D,1-1,1
16,G,Iran,New Zealand,65.0,22.0,13.0,54.4,27.1,18.5,2-0,1.9,0.7,D,2-2,1
17,I,France,Senegal,62.8,22.9,14.3,66.3,21.3,12.5,1-0,1.9,0.8,H,3-1,1
18,I,Iraq,Norway,7.5,16.5,76.0,5.4,12.6,82.0,0-2,0.6,2.3,A,1-4,1
19,J,Argentina,Algeria,79.8,14.3,5.9,70.3,20.0,9.7,2-0,2.5,0.6,H,3-0,1
20,J,Austria,Jordan,54.5,25.9,19.6,72.9,17.2,9.9,1-0,1.6,0.9,H,3-1,1
21,K,Portugal,DR Congo,61.0,23.6,15.4,76.0,16.7,7.3,1-0,1.8,0.8,D,1-1,1
22,L,England,Croatia,60.7,23.7,15.6,,,,1-0,1.8,0.8,H,4-2,1
23,L,Ghana,Panama,47.2,27.8,25.0,40.8,30.1,29.1,1-1,1.4,1.0,H,1-0,1
