,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Argentina,2146,CONMEBOL,J,100.0,95.2,81.0,53.1,35.0,20.2,0.0,0.21,0.39,0.5,0.48,0.4
Spain,2157,UEFA,H,100.0,84.6,62.3,48.6,30.8,18.5,0.0,0.36,0.48,0.5,0.46,0.39
France,2125,UEFA,I,100.0,86.4,66.8,47.6,28.2,16.1,0.0,0.34,0.47,0.5,0.45,0.37
Colombia,2059,CONMEBOL,K,100.0,86.6,60.5,28.8,16.9,9.3,0.0,0.34,0.49,0.45,0.37,0.29
England,2054,UEFA,L,100.0,76.2,49.3,31.2,15.7,7.7,0.0,0.43,0.5,0.46,0.36,0.27
Netherlands,1989,UEFA,F,100.0,61.0,47.2,21.0,9.5,4.2,0.0,0.49,0.5,0.41,0.29,0.2
Brazil,1995,CONMEBOL,C,100.0,61.5,38.5,19.7,8.1,3.6,0.0,0.49,0.49,0.4,0.27,0.19
United States,1860,CONCACAF,D,100.0,79.2,45.4,16.3,7.1,2.7,0.0,0.41,0.5,0.37,0.26,0.16
Mexico,1881,CONCACAF,A,100.0,55.3,24.0,12.7,5.2,2.4,0.0,0.5,0.43,0.33,0.22,0.15
Norway,1926,UEFA,I,100.0,70.2,32.2,13.7,5.0,2.0,0.0,0.46,0.47,0.34,0.22,0.14
Portugal,1935,UEFA,K,100.0,52.0,16.7,9.7,4.2,1.7,0.0,0.5,0.37,0.3,0.2,0.13
Morocco,1890,CAF,C,100.0,39.1,26.7,10.1,4.0,1.5,0.0,0.49,0.44,0.3,0.2,0.12
Switzerland,1910,UEFA,B,100.0,64.3,25.5,9.4,4.1,1.4,0.0,0.48,0.44,0.29,0.2,0.12
Croatia,1923,UEFA,L,100.0,48.0,14.8,8.2,3.4,1.3,0.0,0.5,0.36,0.27,0.18,0.11
Germany,1897,UEFA,E,100.0,65.0,19.9,10.0,3.8,1.3,0.0,0.48,0.4,0.3,0.19,0.11
Japan,1892,AFC,F,100.0,38.5,20.9,8.7,2.9,1.2,0.0,0.49,0.41,0.28,0.17,0.11
Ecuador,1895,CONMEBOL,E,100.0,44.7,17.8,8.0,2.7,1.1,0.0,0.5,0.38,0.27,0.16,0.1
Senegal,1850,CAF,I,100.0,50.4,24.6,7.2,2.8,0.9,0.0,0.5,0.43,0.26,0.16,0.09
Belgium,1850,UEFA,G,100.0,49.6,24.2,6.2,2.2,0.8,0.0,0.5,0.43,0.24,0.15,0.09
Algeria,1805,CAF,J,100.0,23.8,9.0,3.7,1.2,0.4,0.0,0.43,0.29,0.19,0.11,0.06
Canada,1716,CONCACAF,B,100.0,68.2,20.8,5.5,1.5,0.4,0.0,0.47,0.41,0.23,0.12,0.06
Austria,1815,UEFA,J,100.0,15.4,6.2,2.9,0.9,0.3,0.0,0.36,0.24,0.17,0.09,0.05
Paraguay,1763,CONMEBOL,D,100.0,35.0,7.8,3.1,0.9,0.2,0.0,0.48,0.27,0.17,0.09,0.04
Iran,1783,AFC,G,100.0,35.7,10.0,2.4,0.8,0.2,0.0,0.48,0.3,0.15,0.09,0.04
Egypt,1757,CAF,G,100.0,47.6,8.1,2.5,0.8,0.2,0.0,0.5,0.27,0.16,0.09,0.04
Australia,1775,AFC,D,100.0,52.4,9.5,2.9,1.0,0.2,0.0,0.5,0.29,0.17,0.1,0.04
Côte d'Ivoire,1739,CAF,E,100.0,29.8,8.4,2.4,0.5,0.1,0.0,0.46,0.28,0.15,0.07,0.03
Sweden,1740,UEFA,F,100.0,13.6,5.5,1.9,0.5,0.1,0.0,0.34,0.23,0.14,0.07,0.03
Jordan,1627,AFC,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1487,AFC,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,1442,CONCACAF,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1640,AFC,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,1680,UEFA,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1604,CAF,A,100.0,31.8,5.3,0.8,0.1,0.0,0.0,0.47,0.22,0.09,0.03,0.0
